id,title,titleJa,titleEn,image,mean,rank,num_list_users,num_scoring_users,num_episodes,start_date,end_date,media_type,status,rating,average_episode_duration,genres,studios
1,Cowboy Bebop???,カウボーイビバップ,Cowboy Bebop!!,https://cdn.myanimelist.net/images/anime/4/19644.webp,8.75,47,1957906,NaN,26,03-04-1998,24-04-1999,tv,finished_airing,r,1440,"Action, Adult Cast, Award Winning, Sci-Fi, Space",Sunrise
5,Cowboy Bebop: Tengoku no Tobira,カウボーイビバップ 天国の扉,Cowboy Bebop: The Movie,https://cdn.myanimelist.net/images/anime/1439/93480.webp,8.38,215,395149,223905,1,01-09-2001,01-09-2001,movie,finished_airing,r,6911,"Action, Adult Cast, Sci-Fi, Space",Bones
6,Trigun,トライガン???,Trigun,https://cdn.myanimelist.net/images/anime/1130/120002.webp,8.22,376,797512,386757,NaN,01-04-1998,30-09-1998,tv,finished_airing,pg_13,1480,"Action, Adult Cast, Adventure, Sci-Fi, Shounen",Madhouse
7,Witch Hunter Robin!!,Witch Hunter ROBIN (ウイッチハンターロビン)???,Witch Hunter Robin!!,https://cdn.myanimelist.net/images/anime/10/19969.jpg,7.24,3163,122319,45154,26,03-07-2002,25-12-2002,tv,finished_airing,pg_13,1500,"Action, Detective, Drama, Mystery, Supernatural",Sunrise
8,Bouken Ou Beet???,,Beet the Vandel Buster,https://cdn.myanimelist.net/images/anime/7/21569.webp,6.93,4693,16217,6945,52,30-09-2004,29-09-2005,tv,finished_airing,pg,1380,"Action, Adventure, Fantasy, Shounen",Toei Animation
15,Eyeshield 21,アイシールド21,,https://cdn.myanimelist.net/images/anime/1079/133529.webp,7.91,NaN,189837,NaN,145,06-04-2005,19-03-2008,tv,finished_airing,pg_13,1380,"Shounen, Sports, Team Sports",Gallop
16,Hachimitsu to Clover!!,ハチミツとクローバー!!,Honey and Clover!!,https://cdn.myanimelist.net/images/anime/1301/133577.jpg,7.98,691,276585,85444,24,15-04-2005,27-09-2005,tv,finished_airing,pg_13,1419,"Adult Cast, Comedy, Drama, Josei, Love Polygon, Romance, Visual Arts",J.C.Staff
17,Hungry Heart: Wild Striker???,ハングリーハート Wild Striker,,https://cdn.myanimelist.net/images/anime/12/49655.webp,7.54,1850,26066,13897,52,11-09-2002,10-09-2003,tv,finished_airing,pg_13,1400,"Shounen, Sports, Team Sports",Nippon Animation
18,Initial D Fourth Stage!!,頭文字〈イニシャル〉D FOURTH STAGE,,https://cdn.myanimelist.net/images/anime/9/10521.jpg,NaN,450,201742,112836,24,17-04-2004,18-02-2006,tv,finished_airing,pg_13,1620,"Action, Drama, Racing, Seinen",A.C.G.T.
19,Monster,モンスター,Monster???,https://cdn.myanimelist.net/images/anime/10/18793.jpg,8.88,23,1220107,463004,74,07-04-2004,28-09-2005,tv,finished_airing,r+,1440,"Adult Cast, Drama, Mystery, Psychological, Seinen, Suspense",Madhouse
